"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"NA","Telecommunications","Risk and Operations Management","NA","Maritime Safety Engineering","Physiology and Neuroscience","Romance Languages and Literatures","NA","NA","NA","NA","NA"
"NA","Television and Theatre","Risk Management","NA","Material Engineering","Physiotherapy","Romance Studies","NA","NA","NA","NA","NA"
"NA","Textile and Clothing Studies","Risk Management and Insurance","NA","Material Science and Engineering","Podiatry","Russian","NA","NA","NA","NA","NA"
"NA","Textile and Fashion Design","Shipping and Port Management","NA","Materials and Chemical Engineering","Pre-Dentistry","Russian Language","NA","NA","NA","NA","NA"
"NA","Textile Art","Social Innovation Design","NA","Materials and Manufacturing Engineering","Pre-Health tracks","Russian Language and Culture","NA","NA","NA","NA","NA"
"NA","Textile Design","Social Science","NA","Materials and Structures","Pre-Medical and Medical","Russian Language and Literature","NA","NA","NA","NA","NA"
"NA","Textile Science and Technology","Social Work","NA","Materials Engineering","Pre-Medicine","Russian Studies","NA","NA","NA","NA","NA"
"NA","Textiles","Societies and Justice","NA","Materials Science","Pre-Occupational Therapy","Sanskrit","NA","NA","NA","NA","NA"
"NA","Theatre","Sociology","NA","Materials Science and Engineering","Pre-Optometry","Science and Technology Studies","NA","NA","NA","NA","NA"
"NA","Theatre and Dance","Sport Management","NA","Mathematics","Pre-Pharmacy","Slavic Languages and Literatures","NA","NA","NA","NA","NA"
"NA","Theatre and Drama","Supply Chain and Information Systems","NA","Mechanical and Aeronautical Systems","Pre-Physical Therapy","Slavic Studies","NA","NA","NA","NA","NA"
"NA","Theatre and Dramatic Criticism","Supply Chain and Logistics Management","NA","Mechanical Design","Pre-Physician Assistant","Slavic/East European Languages and Literatures","NA","NA","NA","NA","NA"
"NA","Theatre and Film","Supply Chain and Operations","NA","Mechanical Energy and Engineering","Preventive Medicine","Social and Human Science","NA","NA","NA","NA","NA"
"NA","Theatre and Film Studies","Supply Chain Management","NA","Mechanical Engineering","Pre-Veterinary Medicine","Social Work","NA","NA","NA","NA","NA"
